一级学科代码,一级学科名称,评估结果,学校名称1,学校名称2,学校名称3,学校名称4,学校名称5,学校名称6,学校名称7,学校名称8,学校名称9,学校名称10,学校名称11,学校名称12,学校名称13,学校名称14,学校名称15,学校名称16,学校名称17,学校名称18,学校名称19,学校名称20,学校名称21,学校名称22,学校名称23,学校名称24,学校名称25,学校名称26,学校名称27
101,哲学,A+,北京大学,复旦大学,,,,,,,,,,,,,,,,,,,,,,,,,
101,哲学,A,中国人民大学,南京大学,,,,,,,,,,,,,,,,,,,,,,,,,
101,哲学,A-,北京师范大学,吉林大学,武汉大学,中山大学,,,,,,,,,,,,,,,,,,,,,,,
101,哲学,B+,清华大学,南开大学,黑龙江大学,华东师范大学,东南大学,浙江大学,山东大学,华中科技大学,,,,,,,,,,,,,,,,,,,
101,哲学,B,中央民族大学,山西大学,东北大学,同济大学,南京师范大学,厦门大学,湖南师范大学,四川大学,陕西师范大学,,,,,,,,,,,,,,,,,,
101,哲学,B-,辽宁大学,大连理工大学,上海师范大学,苏州大学,中南大学,华南师范大学,西南大学,西安交通大学,,,,,,,,,,,,,,,,,,,
101,哲学,C+,中国政法大学,河北大学,安徽大学,华侨大学,南昌大学,河南大学,湖北大学,中南财经政法大学,兰州大学,,,,,,,,,,,,,,,,,,
101,哲学,C,吉林师范大学,上海大学,吉首大学,深圳大学,西南民族大学,云南大学,,,,,,,,,,,,,,,,,,,,,
101,哲学,C,昆明理工大学,西北政法大学,,,,,,,,,,,,,,,,,,,,,,,,,
101,哲学,C-,河北师范大学,沈阳师范大学,安黴师范大学,河南师范大学,广西大学,四川师范大学,西南政法大学,云南师范大学,,,,,,,,,,,,,,,,,,,
201,理论经济学,A+,中国人民大学,复旦大学,,,,,,,,,,,,,,,,,,,,,,,,,
201,理论经济学,A,北京大学,南开大学,,,,,,,,,,,,,,,,,,,,,,,,,
201,理论经济学,A-,北京师范大学,南京大学,浙江大学,武汉大学,西北大学,,,,,,,,,,,,,,,,,,,,,,
201,理论经济学,B+,清华大学,中央财经大学,吉林大学,上海财经大学,厦门大学,山东大学,华中科技大学,中山大学,西南财经大学,,,,,,,,,,,,,,,,,,
201,理论经济学,B,对外经济贸易大学,辽宁大学,东北财经大学,福建师范大学,江西财经大学,中南财经政法大学,深圳大学,四川大学,云南大学,,,,,,,,,,,,,,,,,,
201,理论经济学,B-,首都经济贸易大学,东北师范大学,湖北大学,湘潭大学,湖南大学,暨南大学,华南师范大学,陕西师范大学,新疆大学,,,,,,,,,,,,,,,,,,
